id,code_desembarque,landing_port
999,111,MONTREAL
1998,112,"COSTA DEL PACIFICO, OTROS NO E"
1999,113,HALIFAX
2000,114,VANCOUVER
2001,115,SAINT JOHN
2002,116,TORONTO
2003,117,OTROS PUERTOS DE CANADA NO IDE
2004,118,BAYSIDE
2005,120,PORT CARTIES
2006,121,"COSTA DEL ATLANTICO, OTROS NO"
2007,122,"PUERTOS DEL GOLFO DE MEXICO, O"
2008,123,"COSTA DEL PACIFICO, OTROS NO E"
2009,124,QUEBEC
2010,125,PRINCE RUPERT
2011,126,HAMILTON
2012,131,BOSTON
2013,132,NEW HAVEN
2014,133,BRIDGEPORT
2015,134,NEW YORK
2016,135,FILADELFIA
2017,136,BALTIMORE
2018,137,NORFOLK
2019,138,WILMINGTON
2020,139,CHARLESTON
2021,140,SAVANAH
2022,141,MIAMI
2023,142,EVERGLADES
2024,143,JACKSONVILLE
2025,145,PALM BEACH
2026,146,BATON ROUGE
2027,147,COLUMBRES
2028,148,PITTSBURGH
2029,149,DULUTH
2030,150,MILWAUKEE
2031,151,TAMPA
2032,152,PENSACOLA
2033,153,MOBILE
2034,154,NEW ORLEANS
2035,155,PORT ARTHUR
2036,156,GALVESTON
2037,157,CORPUS CRISTI
2038,158,BROWSVILLE
2039,159,HOUSTON
2040,160,OAKLAND
2041,161,STOCKTON
2042,171,SEATLE
2043,172,PORTLAND
2044,173,SAN FRANCISCO
2045,174,LOS ANGELES
2046,175,LONG BEACH
2047,176,SAN DIEGO
2048,180,OTROS PUERTOS DE ESTADOS UNIDO
2049,199,LOS VILOS
2050,201,PUCHOCO
2051,202,OXIQUIM
2052,203,T. GASERO ABASTIBLE
2053,204,PATACHE
2054,205,CALBUCO
2055,206,MICHILLA
2056,207,PUERTO ANGAMOS
2057,208,POSEIDON
2058,209,TRES PUENTES
2059,210,OTROS PUERTOS DE MEXICO NO ESP
2060,211,TAMPICO
2061,212,"COSTA DEL PACIFICO, OTROS PUER"
2062,213,VERACRUZ
2063,214,COATZACOALCOS
2064,215,GUAYMAS
2065,216,MAZATLAN
2066,217,MANZANILLO
2067,218,ACAPULCO
2068,219,"GOLFO DE MEXICO, OTROS NO ESPE"
2069,220,ALTAMIRA
2070,221,CRISTOBAL
2071,222,BALBOA
2072,223,COLON
2073,224,OTROS PUERTOS DE PANAMA NO ESP
2074,231,OTROS PUERTOS DE COLOMBIA NO E
2075,232,BUENAVENTURA
2076,233,BARRANQUILLA
2077,241,OTROS PUERTOS DE ECUADOR NO ES
2078,242,GUAYAQUIL
2079,251,OTROS PUERTOS DE PERU NO ESPEC
2080,252,CALLAO
2081,253,ILO
2082,254,IQUITOS
2083,261,OTROS PUERTOS DE ARGENTINA NO
2084,262,BUENOS AIRES
2085,263,NECOCHEA
2086,264,MENDOZA
2087,265,CORDOBA
2088,266,BAHIA BLANCA
2089,267,COMODORO RIVADAVIA
2090,268,PUERTO MADRYN
2091,269,MAR DEL PLATA
2092,270,ROSARIO
2093,271,OTROS PUERTOS DE URUGUAY NO ES
2094,272,MONTEVIDEO
2095,281,OTROS PUERTOS DE VENEZUELA NO
2096,282,LA GUAIRA
2097,285,MARACAIBO
2098,291,OTROS PUERTOS DE BRASIL NO ESP
2099,292,SANTOS
2100,293,RIO JANEIRO
2101,294,RIO GRANDE DEL SUR
2102,295,PARANAGUA
2103,296,SAO PAULO
2104,297,SALVADOR
2105,301,OTROS PUERTOS DE LAS ANTILLAS
2106,302,CURAZAO
2107,399,OTROS PUERTOS DE AMERICA NO ES
2108,411,SHANGAI
2109,412,DAIREN
2110,413,OTROS PUERTOS DE CHINA NO ESPE
2111,421,NANPO
2112,422,BUSAN CY (PUSAN)
2113,423,OTROS PUERTOS DE COREA
2114,431,MANILA
2115,432,OTROS PUERTOS DE FILIPINAS NO
2116,441,OTROS PUERTOS DE JAPON NO ESPE
2117,442,OSAKA
2118,443,KOBE
2119,444,YOKOHAMA
2120,445,NAGOYA
2121,446,SHIMIZUI
2122,447,MOJI
2123,448,YAWATA
2124,449,FUKUYAMA
2125,451,KAOHSIUNG
2126,452,KEELUNG
2127,453,OTROS PUERTOS DE TAIWAN NO ESP
2128,461,KARHG ISLAND
2129,462,OTROS PUERTOS DE IRAN NO ESPEC
2130,471,CALCUTA
2131,472,OTROS PUERTOS DE INDIA NO E
2132,481,CHALNA
2133,482,OTROS PUERTOS DE BANGLADESH NO
2134,491,OTROS PUERTOS DE SINGAPURE NO
2135,492,HONG KONG
2136,499,OTROS PUERTOS ASIATICOS NO ESP
2137,511,CONSTANZA
2138,512,OTROS PUERTOS DE RUMANIA NO ES
2139,521,VARNA
2140,522,OTROS PUERTOS DE BULGARIA NO E
2141,531,RIJEKA
2142,532,OTROS PUERTOS DE YUGOESLAVIA N
2143,533,BELGRADO
2144,534,OTROS PUERTOS DE SER
2145,535,PODGORITSA
2146,536,OTROS PUERTOS DE MON
2147,537,OTROS PUERTOS DE CRO
2148,538,RIJEKA
2149,541,OTROS PUERTOS DE ITALIA NO ESP
2150,542,GENOVA
2151,543,"LIORNA, LIVORNO"
2152,544,NAPOLES
2153,545,SALERNO
2154,546,AUGUSTA
2155,547,SAVONA
2156,551,OTROS PUERTOS DE FRANCIA NO ES
2157,552,LA PALLICE
2158,553,LE HAVRE
2159,554,MARSELLA
2160,555,BURDEOS
2161,556,CALAIS
2162,557,BREST
2163,558,RUAN
2164,561,OTROS PUERTOS DE ESPANA NO ESP
2165,562,CADIZ
2166,563,BARCELONA
2167,564,BILBAO
2168,565,HUELVA
2169,566,SEVILLA
2170,567,TARRAGONA
2171,571,LIVERPOOL
2172,572,LONDRES
2173,573,ROCHESTER
2174,574,ETEN SALVERRY
2175,576,OTROS PUERTOS DE INGLATERRA NO
2176,577,DOVER
2177,578,PLYMOUTH
2178,581,HELSINSKI
2179,582,OTROS PUERTOS DE FINLANDIA NO
2180,583,HANKO
2181,584,KEMI
2182,585,KOKKOLA
2183,586,KOTKA
2184,587,OULO
2185,588,PIETARSAARI
2186,589,PORI
2187,591,BREMEN
2188,592,HAMBURGO
2189,593,NUREMBERG
2190,594,FRANKFURT
2191,595,DUSSELDORF
2192,596,OTROS PUERTOS DE ALEMANIA NO E
2193,597,CUXHAVEN
2194,598,ROSTOCK
2195,599,OLDENBURG
2196,601,AMBERES
2197,602,OTROS PUERTOS DE BELGICA NO ES
2198,603,ZEEBRUGGE
2199,604,GHENT
2200,605,OOSTENDE
2201,611,LISBOA
2202,612,OTROS PUERTOS DE PORTUGAL NO E
2203,613,SETUBAL
2204,621,AMSTERDAM
2205,622,ROTTERDAM
2206,623,OTROS PUERTOS DE HOLANDA NO ES
2207,631,GOTEMBURGO
2208,632,OTROS PUERTOS DE SUECIA NO ESP
2209,633,MALMO
2210,634,HELSIMBORG
2211,635,KALMAR
2212,641,AARHUS
2213,642,COPENHAGEN
2214,643,OTROS PUERTOS DE DINAMARCA NO
2215,644,AALBORG
2216,645,ODENSE
2217,651,OSLO
