id,code_incoming,country_incoming
500,101,SENEGAL
501,102,GAMBIA
502,103,GUINEA-BISSAU
503,104,GUINEA
504,105,SIERRA LEONA
505,106,LIBERIA
506,107,COSTA DE MARFIL
507,108,GHANA
508,109,TOGO
509,111,NIGERIA
510,112,SUDAFRICA
511,113,BOTSWANA
512,114,LESOTHO
513,115,MALAWI
514,116,ZIMBABWE
515,117,ZAMBIA
516,118,COMORAS
517,119,MAURICIO
518,120,MADAGASCAR
519,121,MOZAMBIQUE
520,122,SWAZILANDIA
521,123,SUDAN
522,124,EGIPTO
523,125,LIBIA
524,126,TUNEZ
525,127,ARGELIA
526,128,MARRUECOS
527,129,CABO VERDE
528,130,CHAD
529,131,NIGER
530,132,ALTO VOLTA
531,133,MALI
532,134,MAURITANIA
533,135,TANZANIA
534,136,UGANDA
535,137,KENIA
536,138,SOMALIA
537,139,ETIOPIA
538,140,ANGOLA
539,141,BURUNDI
540,142,RWANDA
541,143,REP.DEM. CONGO
542,144,CONGO
543,145,GABON
544,146,S.TOM.PRINCIPE
545,147,GUINEA ECUATRL
546,148,REP.CENT.AFRIC.
547,149,CAMERUN
548,150,BENIN
549,151,TERR.BRIT.EN AF
550,152,TER.ESPAN.EN AF
551,153,TERR.FRAN.EN AF
552,154,BOPHUTHATSWANA
553,155,DJIBOUTI
554,156,SEYCHELLES
555,158,VIENDA
556,159,NAMIBIA
557,160,SUDAN DEL SUR
558,161,BURKINA FASO
559,162,CISKEY
560,163,ERITREA
561,164,ISLAS MARSHALL
562,165,SAHARAUI
563,166,TRANSKEI
564,201,VENEZUELA
565,202,COLOMBIA
566,203,TRINID.Y TOBAGO
567,204,BARBADOS
568,205,JAMAICA
569,206,REP.DOMINICANA
570,207,BAHAMAS
571,208,HAITI
572,209,CUBA
573,210,PANAMA
574,211,COSTA RICA
575,212,NICARAGUA
576,213,EL SALVADOR
577,214,HONDURAS
578,215,GUATEMALA
579,216,MEXICO
580,217,GUYANA
581,218,ECUADOR
582,219,PERU
583,220,BRASIL
584,221,BOLIVIA
585,222,PARAGUAY
586,223,URUGUAY
587,224,ARGENTINA
588,225,U.S.A.
589,226,CANADA
590,227,TERR.BRIT.EN AM
591,228,TERR.FRAN.EN AM
592,229,TER.HOLAN.EN AM
593,230,TERR.D/DINAMARC
594,231,DOMINICA
595,232,GRANADA
596,233,SANTA LUCIA(ISL
597,234,S.VTE.Y GRANAD.
598,235,SURINAM
599,236,BELICE
600,240,ANTIGUA Y BBUDA
601,241,SNT.KIT & NEVIS
602,242,ANGUILA
603,243,ARUBA
604,244,BERMUDAS
605,245,ISLAS VIRG.BRIT
606,246,ISLAS CAYMAN
607,247,ANTILLAS NEERLANDESA
608,248,TURCAS Y CAICOS
609,249,ISLAS VIRGENES (ESTADOS UNIDOS
610,250,MARTINICA
611,251,PUERTO RICO
612,252,MONSERRAT
