id,code_moneda,moneda
7000,1,PESO
7001,102,LIBRA EST
7002,113,CORONA SC
7003,127,DOLAR HK
7004,128,RAND
7005,129,PESO COL
7006,13,DOLAR USA
7007,130,SUCRE
7008,131,DRACMA
7009,132,PESO MEX
7010,133,ESCUDO
7011,134,BOLIVAR
7012,135,DINAR
7013,136,DOLAR SIN
7014,137,RUPIA
7015,138,DOLAR TAI
7016,139,DIRHAM
7017,142,EURO
7018,200,PESO CL
7019,23,GUARANI
7020,24,NUEVO SOL
7021,26,PESO URUG
7022,30,MARCO AL
7023,36,DOLAR AUST
7024,37,CHELIN
7025,4,BOLIVIANO
7026,40,FRANCO BEL
7027,48,RENMINBI
7028,5,CRUZEIRO REAL
7029,51,CORONA DIN
7030,53,PESETA
7031,57,MARCO FIN
7032,58,FRANCO FR
7033,6,DOLAR CAN
7034,64,FLORIN
7035,71,LIRA
7036,72,YEN
7037,82,FRANCO SZ
7038,900,OTRAS MONEDAS
7039,901,ECU
7040,96,CORONA NOR
7041,97,DOLAR NZ
