id,code_outgoing,country_outgoing
800,101,SENEGAL
801,102,GAMBIA
802,103,GUINEA-BISSAU
803,104,GUINEA
804,105,SIERRA LEONA
805,106,LIBERIA
806,107,COSTA DE MARFIL
807,108,GHANA
808,109,TOGO
809,111,NIGERIA
810,112,SUDAFRICA
811,113,BOTSWANA
812,114,LESOTHO
813,115,MALAWI
814,116,ZIMBABWE
815,117,ZAMBIA
816,118,COMORAS
817,119,MAURICIO
818,120,MADAGASCAR
819,121,MOZAMBIQUE
820,122,SWAZILANDIA
821,123,SUDAN
822,124,EGIPTO
823,125,LIBIA
824,126,TUNEZ
825,127,ARGELIA
826,128,MARRUECOS
827,129,CABO VERDE
828,130,CHAD
829,131,NIGER
830,132,ALTO VOLTA
831,133,MALI
832,134,MAURITANIA
833,135,TANZANIA
834,136,UGANDA
835,137,KENIA
836,138,SOMALIA
837,139,ETIOPIA
838,140,ANGOLA
839,141,BURUNDI
840,142,RWANDA
841,143,REP.DEM. CONGO
842,144,CONGO
843,145,GABON
844,146,S.TOM.PRINCIPE
845,147,GUINEA ECUATRL
846,148,REP.CENT.AFRIC.
847,149,CAMERUN
848,150,BENIN
849,151,TERR.BRIT.EN AF
850,152,TER.ESPAN.EN AF
851,153,TERR.FRAN.EN AF
852,154,BOPHUTHATSWANA
853,155,DJIBOUTI
854,156,SEYCHELLES
855,158,VIENDA
856,159,NAMIBIA
857,160,SUDAN DEL SUR
858,161,BURKINA FASO
859,162,CISKEY
860,163,ERITREA
861,164,ISLAS MARSHALL
862,165,SAHARAUI
863,166,TRANSKEI
864,201,VENEZUELA
865,202,COLOMBIA
866,203,TRINID.Y TOBAGO
867,204,BARBADOS
868,205,JAMAICA
869,206,REP.DOMINICANA
870,207,BAHAMAS
871,208,HAITI
872,209,CUBA
873,210,PANAMA
874,211,COSTA RICA
875,212,NICARAGUA
876,213,EL SALVADOR
877,214,HONDURAS
878,215,GUATEMALA
879,216,MEXICO
880,217,GUYANA
881,218,ECUADOR
882,219,PERU
883,220,BRASIL
884,221,BOLIVIA
885,222,PARAGUAY
886,223,URUGUAY
887,224,ARGENTINA
888,225,U.S.A.
889,226,CANADA
890,227,TERR.BRIT.EN AM
891,228,TERR.FRAN.EN AM
892,229,TER.HOLAN.EN AM
893,230,TERR.D/DINAMARC
894,231,DOMINICA
895,232,GRANADA
896,233,SANTA LUCIA(ISL
897,234,S.VTE.Y GRANAD.
898,235,SURINAM
899,236,BELICE
900,240,ANTIGUA Y BBUDA
901,241,SNT.KIT & NEVIS
902,242,ANGUILA
903,243,ARUBA
904,244,BERMUDAS
905,245,ISLAS VIRG.BRIT
906,246,ISLAS CAYMAN
907,247,ANTILLAS NEERLANDESA
908,248,TURCAS Y CAICOS
909,249,ISLAS VIRGENES (ESTADOS UNIDOS
910,250,MARTINICA
911,251,PUERTO RICO
912,252,MONSERRAT
913,253,GROENLANDIA
914,301,JORDANIA
915,302,ARABIA SAUDITA
916,303,KUWAIT
917,304,OMAN
918,305,CHIPRE
919,306,ISRAEL
920,307,IRAK
921,308,AFGANISTAN
922,309,IRAN
923,310,SIRIA
924,311,LIBANO
925,312,QATAR
926,313,BAHREIN
927,314,SRI LANKA
928,315,CAMBODIA
929,316,LAOS
930,317,INDIA
931,318,BHUTAN
932,319,THAILANDIA
933,320,NEPAL
934,321,BANGLADESH
935,322,YEMEN
936,323,YEMEN DEL SUR
937,324,PAKISTAN
938,325,VIETNAM
939,326,MYANMAR (EX BIR
940,327,ISLAS MALDIVAS
941,328,INDONESIA
942,329,MALASIA
943,330,TAIWAN (FORMOSA
944,331,JAPON
945,332,SINGAPUR
946,333,COREA DEL SUR
947,334,COREA DEL NORTE
948,335,FILIPINAS
949,336,CHINA
950,337,MONGOLIA
951,341,EMIR.ARAB.UNID.
952,342,HONG KONG
953,343,TER.PORTUG.E/AS
954,344,BRUNEI
